depth_km,vel_shear_kps,density_gcc
0.000,0.314,1.934
0.001,0.314,1.934
0.001,0.427,1.989
0.002,0.512,2.024
0.003,0.569,2.046
0.005,0.649,2.075
0.008,0.731,2.103
0.011,0.793,2.122
0.014,0.843,2.136
0.018,0.898,2.152
0.022,0.944,2.164
0.030,1.020,2.184
0.044,1.176,2.222
0.064,1.348,2.260
0.082,1.474,2.287
0.102,1.594,2.312
0.126,1.718,2.338
0.150,1.826,2.360
0.190,1.984,2.392
0.250,2.080,2.412
0.300,2.147,2.426
0.450,2.308,2.459
0.550,2.393,2.477
0.650,2.467,2.493
0.800,2.561,2.513
0.900,2.614,2.524
1.000,2.663,2.535
1.450,2.839,2.573
2.050,3.014,2.612
2.400,3.094,2.629
2.850,3.180,2.648
3.400,3.271,2.668
4.000,3.357,2.687
5.200,3.418,2.701
6.650,3.478,2.714
7.850,3.519,2.723
